diagnosis_year,age_at_diagnosis,implied_birth_year,present_during_grading
2013,5,2008,no
2013,6,2007,yes
2013,7,2006,yes
2013,8,2005,yes
2013,9,2004,yes
2013,10,2003,yes
2013,11,2002,yes
2013,12,2001,yes
2013,13,2000,yes
2013,14,1999,yes
2013,15,1998,yes
2013,16,1997,yes
2013,17,1996,yes
2013,18,1995,yes
2013,19,1994,yes
2014,5,2009,no
2014,6,2008,no
2014,7,2007,yes
2014,8,2006,yes
2014,9,2005,yes
2014,10,2004,yes
2014,11,2003,yes
2014,12,2002,yes
2014,13,2001,yes
2014,14,2000,yes
2014,15,1999,yes
2014,16,1998,yes
2014,17,1997,yes
2014,18,1996,yes
2014,19,1995,yes
2015,5,2010,no
2015,6,2009,no
2015,7,2008,no
2015,8,2007,yes
2015,9,2006,yes
2015,10,2005,yes
2015,11,2004,yes
2015,12,2003,yes
2015,13,2002,yes
2015,14,2001,yes
2015,15,2000,yes
2015,16,1999,yes
2015,17,1998,yes
2015,18,1997,yes
2015,19,1996,yes
2016,5,2011,no
2016,6,2010,no
2016,7,2009,no
2016,8,2008,no
2016,9,2007,yes
2016,10,2006,yes
2016,11,2005,yes
2016,12,2004,yes
2016,13,2003,yes
2016,14,2002,yes
2016,15,2001,yes
2016,16,2000,yes
2016,17,1999,yes
2016,18,1998,yes
2016,19,1997,yes
2017,5,2012,no
2017,6,2011,no
2017,7,2010,no
2017,8,2009,no
2017,9,2008,no
2017,10,2007,yes
2017,11,2006,yes
2017,12,2005,yes
2017,13,2004,yes
2017,14,2003,yes
2017,15,2002,yes
2017,16,2001,yes
2017,17,2000,yes
2017,18,1999,yes
2017,19,1998,yes
2018,5,2013,no
2018,6,2012,no
2018,7,2011,no
2018,8,2010,no
2018,9,2009,no
2018,10,2008,no
2018,11,2007,yes
2018,12,2006,yes
2018,13,2005,yes
2018,14,2004,yes
2018,15,2003,yes
2018,16,2002,yes
2018,17,2001,yes
2018,18,2000,yes
2018,19,1999,yes
2019,5,2014,no
2019,6,2013,no
2019,7,2012,no
2019,8,2011,no
2019,9,2010,no
2019,10,2009,no
2019,11,2008,no
2019,12,2007,yes
2019,13,2006,yes
2019,14,2005,yes
2019,15,2004,yes
2019,16,2003,yes
2019,17,2002,yes
2019,18,2001,yes
2019,19,2000,yes
2020,5,2015,no
2020,6,2014,no
2020,7,2013,no
2020,8,2012,no
2020,9,2011,no
2020,10,2010,no
2020,11,2009,no
2020,12,2008,no
2020,13,2007,yes
2020,14,2006,yes
2020,15,2005,yes
2020,16,2004,yes
2020,17,2003,yes
2020,18,2002,yes
2020,19,2001,yes
2021,5,2016,no
2021,6,2015,no
2021,7,2014,no
2021,8,2013,no
2021,9,2012,no
2021,10,2011,no
2021,11,2010,no
2021,12,2009,no
2021,13,2008,no
2021,14,2007,yes
2021,15,2006,yes
2021,16,2005,yes
2021,17,2004,yes
2021,18,2003,yes
2021,19,2002,yes
2022,5,2017,no
2022,6,2016,no
2022,7,2015,no
2022,8,2014,no
2022,9,2013,no
2022,10,2012,no
2022,11,2011,no
2022,12,2010,no
2022,13,2009,no
2022,14,2008,no
2022,15,2007,yes
2022,16,2006,yes
2022,17,2005,yes
2022,18,2004,yes
2022,19,2003,yes
2023,5,2018,no
2023,6,2017,no
2023,7,2016,no
2023,8,2015,no
2023,9,2014,no
2023,10,2013,no
2023,11,2012,no
2023,12,2011,no
2023,13,2010,no
2023,14,2009,no
2023,15,2008,no
2023,16,2007,yes
2023,17,2006,yes
2023,18,2005,yes
2023,19,2004,yes
2024,5,2019,no
2024,6,2018,no
2024,7,2017,no
2024,8,2016,no
2024,9,2015,no
2024,10,2014,no
2024,11,2013,no
2024,12,2012,no
2024,13,2011,no
2024,14,2010,no
2024,15,2009,no
2024,16,2008,no
2024,17,2007,yes
2024,18,2006,yes
2024,19,2005,yes
2025,5,2020,no
2025,6,2019,no
2025,7,2018,no
2025,8,2017,no
2025,9,2016,no
2025,10,2015,no
2025,11,2014,no
2025,12,2013,no
2025,13,2012,no
2025,14,2011,no
2025,15,2010,no
2025,16,2009,no
2025,17,2008,no
2025,18,2007,yes
2025,19,2006,yes
2026,5,2021,no
2026,6,2020,no
2026,7,2019,no
2026,8,2018,no
2026,9,2017,no
2026,10,2016,no
2026,11,2015,no
2026,12,2014,no
2026,13,2013,no
2026,14,2012,no
2026,15,2011,no
2026,16,2010,no
2026,17,2009,no
2026,18,2008,no
2026,19,2007,yes
